"id";"datetime";"dive_number";"dive_type";"depth"
2010023;2010-03-10 12:28:28;1;"Forage";241
2010023;2010-03-10 12:28:30;1;"Forage";245,5
2010023;2010-03-10 12:28:32;1;"Forage";250,5
2010023;2010-03-10 12:28:34;1;"Forage";256,5
2010023;2010-03-10 12:28:35;1;"Forage";261,5
2010023;2010-03-10 12:28:37;1;"Forage";266,5
2010023;2010-03-10 12:28:39;1;"Forage";272
2010023;2010-03-10 12:28:42;1;"Forage";277
2010023;2010-03-10 12:28:44;1;"Forage";283
2010023;2010-03-10 12:28:46;1;"Forage";288,5
2010023;2010-03-10 12:28:48;1;"Forage";293,5
2010023;2010-03-10 12:28:49;1;"Forage";299
2010023;2010-03-10 12:28:51;1;"Forage";304,5
2010023;2010-03-10 12:28:53;1;"Forage";310,5
2010023;2010-03-10 12:28:56;1;"Forage";315
2010023;2010-03-10 12:28:58;1;"Forage";319
2010023;2010-03-10 12:29:00;1;"Forage";321,5
2010023;2010-03-10 12:29:01;1;"Forage";324,5
2010023;2010-03-10 12:29:03;1;"Forage";327,5
2010023;2010-03-10 12:29:05;1;"Forage";331
2010023;2010-03-10 12:29:07;1;"Forage";334
2010023;2010-03-10 12:29:10;1;"Forage";335,5
2010023;2010-03-10 12:29:12;1;"Forage";336
2010023;2010-03-10 12:29:14;1;"Forage";337
2010023;2010-03-10 12:29:15;1;"Forage";338
2010023;2010-03-10 12:29:17;1;"Forage";339
2010023;2010-03-10 12:29:19;1;"Forage";340,5
2010023;2010-03-10 12:29:22;1;"Forage";342
2010023;2010-03-10 12:29:24;1;"Forage";344
2010023;2010-03-10 12:29:26;1;"Forage";345,5
2010023;2010-03-10 12:29:28;1;"Forage";347,5
2010023;2010-03-10 12:29:29;1;"Forage";349
2010023;2010-03-10 12:29:31;1;"Forage";351,5
2010023;2010-03-10 12:29:33;1;"Forage";353,5
2010023;2010-03-10 12:29:36;1;"Forage";356
2010023;2010-03-10 12:29:38;1;"Forage";358,5
2010023;2010-03-10 12:29:40;1;"Forage";361,5
2010023;2010-03-10 12:29:42;1;"Forage";364,5
2010023;2010-03-10 12:29:43;1;"Forage";368
2010023;2010-03-10 12:29:45;1;"Forage";370,5
2010023;2010-03-10 12:29:47;1;"Forage";374
2010023;2010-03-10 12:29:50;1;"Forage";377
2010023;2010-03-10 12:29:52;1;"Forage";380,5
2010023;2010-03-10 12:29:54;1;"Forage";384,5
2010023;2010-03-10 12:29:55;1;"Forage";387,5
2010023;2010-03-10 12:29:57;1;"Forage";389,5
2010023;2010-03-10 12:29:59;1;"Forage";392,5
2010023;2010-03-10 12:30:01;1;"Forage";394,5
2010023;2010-03-10 12:30:04;1;"Forage";397,5
2010023;2010-03-10 12:30:06;1;"Forage";399,5
2010023;2010-03-10 12:30:08;1;"Forage";402,5
2010023;2010-03-10 12:30:09;1;"Forage";405,5
2010023;2010-03-10 12:30:11;1;"Forage";409,5
2010023;2010-03-10 12:30:13;1;"Forage";413
2010023;2010-03-10 12:30:16;1;"Forage";417
2010023;2010-03-10 12:30:18;1;"Forage";421
2010023;2010-03-10 12:30:20;1;"Forage";424
2010023;2010-03-10 12:30:22;1;"Forage";428
2010023;2010-03-10 12:30:23;1;"Forage";432
2010023;2010-03-10 12:30:25;1;"Forage";436
2010023;2010-03-10 12:30:27;1;"Forage";439,5
2010023;2010-03-10 12:30:30;1;"Forage";443
2010023;2010-03-10 12:30:32;1;"Forage";446,5
2010023;2010-03-10 12:30:34;1;"Forage";449,5
2010023;2010-03-10 12:30:35;1;"Forage";453
2010023;2010-03-10 12:30:37;1;"Forage";456
2010023;2010-03-10 12:30:39;1;"Forage";458,5
2010023;2010-03-10 12:30:41;1;"Forage";461
2010023;2010-03-10 12:30:44;1;"Forage";464,5
2010023;2010-03-10 12:30:46;1;"Forage";467,5
2010023;2010-03-10 12:30:48;1;"Forage";471
2010023;2010-03-10 12:30:49;1;"Forage";475,5
2010023;2010-03-10 12:30:51;1;"Forage";480,5
2010023;2010-03-10 12:30:53;1;"Forage";485
2010023;2010-03-10 12:30:55;1;"Forage";489,5
2010023;2010-03-10 12:30:58;1;"Forage";493
2010023;2010-03-10 12:31:00;1;"Forage";497
2010023;2010-03-10 12:31:02;1;"Forage";499,5
2010023;2010-03-10 12:31:03;1;"Forage";501,5
2010023;2010-03-10 12:31:05;1;"Forage";504,5
2010023;2010-03-10 12:31:07;1;"Forage";506
2010023;2010-03-10 12:31:10;1;"Forage";508
2010023;2010-03-10 12:31:12;1;"Forage";509
2010023;2010-03-10 12:31:14;1;"Forage";511
2010023;2010-03-10 12:31:16;1;"Forage";513
2010023;2010-03-10 12:31:17;1;"Forage";515
2010023;2010-03-10 12:31:19;1;"Forage";518
2010023;2010-03-10 12:31:21;1;"Forage";520,5
2010023;2010-03-10 12:31:24;1;"Forage";522,5
2010023;2010-03-10 12:31:26;1;"Forage";525,5
2010023;2010-03-10 12:31:28;1;"Forage";527,5
2010023;2010-03-10 12:31:29;1;"Forage";531
2010023;2010-03-10 12:31:31;1;"Forage";534
2010023;2010-03-10 12:31:33;1;"Forage";538
2010023;2010-03-10 12:31:35;1;"Forage";539,5
2010023;2010-03-10 12:31:38;1;"Forage";541
2010023;2010-03-10 12:31:40;1;"Forage";543
2010023;2010-03-10 12:31:42;1;"Forage";544,5
2010023;2010-03-10 12:31:43;1;"Forage";547,5
2010023;2010-03-10 12:31:45;1;"Forage";550
2010023;2010-03-10 12:31:47;1;"Forage";551,5
2010023;2010-03-10 12:31:49;1;"Forage";552,5
2010023;2010-03-10 12:31:52;1;"Forage";554,5
2010023;2010-03-10 12:31:54;1;"Forage";558
2010023;2010-03-10 12:31:56;1;"Forage";560,5
2010023;2010-03-10 12:31:57;1;"Forage";564
2010023;2010-03-10 12:31:59;1;"Forage";566,5
2010023;2010-03-10 12:32:01;1;"Forage";569,5
2010023;2010-03-10 12:32:04;1;"Forage";573
2010023;2010-03-10 12:32:06;1;"Forage";576
2010023;2010-03-10 12:32:08;1;"Forage";579,5
2010023;2010-03-10 12:32:10;1;"Forage";583
2010023;2010-03-10 12:32:11;1;"Forage";587
2010023;2010-03-10 12:32:13;1;"Forage";591
2010023;2010-03-10 12:32:15;1;"Forage";595,5
2010023;2010-03-10 12:32:18;1;"Forage";600
2010023;2010-03-10 12:32:20;1;"Forage";604,5
2010023;2010-03-10 12:32:22;1;"Forage";608
2010023;2010-03-10 12:32:23;1;"Forage";611,5
2010023;2010-03-10 12:32:25;1;"Forage";613,5
2010023;2010-03-10 12:32:27;1;"Forage";615,5
2010023;2010-03-10 12:32:29;1;"Forage";616,5
2010023;2010-03-10 12:32:32;1;"Forage";616,5
2010023;2010-03-10 12:32:34;1;"Forage";617
2010023;2010-03-10 12:32:36;1;"Forage";616
2010023;2010-03-10 12:32:37;1;"Forage";616
2010023;2010-03-10 12:32:39;1;"Forage";617,5
2010023;2010-03-10 12:32:41;1;"Forage";620
2010023;2010-03-10 12:32:43;1;"Forage";619
2010023;2010-03-10 12:32:46;1;"Forage";617,5
2010023;2010-03-10 12:32:48;1;"Forage";618
2010023;2010-03-10 12:32:50;1;"Forage";618
2010023;2010-03-10 12:32:51;1;"Forage";617,5
2010023;2010-03-10 12:32:53;1;"Forage";616,5
2010023;2010-03-10 12:32:55;1;"Forage";615,5
2010023;2010-03-10 12:32:58;1;"Forage";614
2010023;2010-03-10 12:33:00;1;"Forage";613
2010023;2010-03-10 12:33:02;1;"Forage";612
2010023;2010-03-10 12:33:04;1;"Forage";611
2010023;2010-03-10 12:33:05;1;"Forage";610
2010023;2010-03-10 12:33:07;1;"Forage";608,5
2010023;2010-03-10 12:33:09;1;"Forage";607
2010023;2010-03-10 12:33:12;1;"Forage";605
2010023;2010-03-10 12:33:14;1;"Forage";603,5
2010023;2010-03-10 12:33:16;1;"Forage";601,5
2010023;2010-03-10 12:33:17;1;"Forage";599,5
2010023;2010-03-10 12:33:19;1;"Forage";598
2010023;2010-03-10 12:33:21;1;"Forage";595,5
2010023;2010-03-10 12:33:23;1;"Forage";594,5
2010023;2010-03-10 12:33:26;1;"Forage";593,5
2010023;2010-03-10 12:33:28;1;"Forage";593
2010023;2010-03-10 12:33:30;1;"Forage";592
2010023;2010-03-10 12:33:31;1;"Forage";590,5
2010023;2010-03-10 12:33:33;1;"Forage";589,5
2010023;2010-03-10 12:33:35;1;"Forage";588
2010023;2010-03-10 12:33:37;1;"Forage";586
2010023;2010-03-10 12:33:40;1;"Forage";585
2010023;2010-03-10 12:33:42;1;"Forage";584
2010023;2010-03-10 12:33:44;1;"Forage";582,5
2010023;2010-03-10 12:33:45;1;"Forage";582,5
2010023;2010-03-10 12:33:47;1;"Forage";582
2010023;2010-03-10 12:33:49;1;"Forage";580
2010023;2010-03-10 12:33:52;1;"Forage";577,5
2010023;2010-03-10 12:33:54;1;"Forage";574,5
2010023;2010-03-10 12:33:56;1;"Forage";572
2010023;2010-03-10 12:33:58;1;"Forage";570,5
2010023;2010-03-10 12:33:59;1;"Forage";569
2010023;2010-03-10 12:34:01;1;"Forage";567,5
2010023;2010-03-10 12:34:03;1;"Forage";567
2010023;2010-03-10 12:34:06;1;"Forage";566,5
2010023;2010-03-10 12:34:08;1;"Forage";566,5
2010023;2010-03-10 12:34:10;1;"Forage";566
2010023;2010-03-10 12:34:12;1;"Forage";565
2010023;2010-03-10 12:34:13;1;"Forage";563
2010023;2010-03-10 12:34:15;1;"Forage";561
2010023;2010-03-10 12:34:17;1;"Forage";559,5
2010023;2010-03-10 12:34:20;1;"Forage";556,5
2010023;2010-03-10 12:34:22;1;"Forage";555,5
2010023;2010-03-10 12:34:24;1;"Forage";554
2010023;2010-03-10 12:34:25;1;"Forage";552
2010023;2010-03-10 12:34:27;1;"Forage";550,5
2010023;2010-03-10 12:34:29;1;"Forage";548,5
2010023;2010-03-10 12:34:31;1;"Forage";547
2010023;2010-03-10 12:34:34;1;"Forage";545,5
2010023;2010-03-10 12:34:36;1;"Forage";545
2010023;2010-03-10 12:34:38;1;"Forage";543,5
2010023;2010-03-10 12:34:39;1;"Forage";542,5
2010023;2010-03-10 12:34:41;1;"Forage";541
2010023;2010-03-10 12:34:43;1;"Forage";540
2010023;2010-03-10 12:34:46;1;"Forage";539,5
2010023;2010-03-10 12:34:48;1;"Forage";539,5
2010023;2010-03-10 12:34:50;1;"Forage";539
2010023;2010-03-10 12:34:52;1;"Forage";539
2010023;2010-03-10 12:34:53;1;"Forage";538,5
2010023;2010-03-10 12:34:55;1;"Forage";538,5
2010023;2010-03-10 12:34:57;1;"Forage";539
2010023;2010-03-10 12:35:00;1;"Forage";539,5
2010023;2010-03-10 12:35:02;1;"Forage";540,5
2010023;2010-03-10 12:35:04;1;"Forage";541,5
2010023;2010-03-10 12:35:06;1;"Forage";542,5
2010023;2010-03-10 12:35:07;1;"Forage";544
2010023;2010-03-10 12:35:09;1;"Forage";545,5
2010023;2010-03-10 12:35:11;1;"Forage";547,5
2010023;2010-03-10 12:35:14;1;"Forage";549,5
2010023;2010-03-10 12:35:16;1;"Forage";552,5
2010023;2010-03-10 12:35:18;1;"Forage";555,5
2010023;2010-03-10 12:35:19;1;"Forage";558,5
2010023;2010-03-10 12:35:21;1;"Forage";559,5
2010023;2010-03-10 12:35:23;1;"Forage";560
2010023;2010-03-10 12:35:25;1;"Forage";559
2010023;2010-03-10 12:35:28;1;"Forage";558,5
2010023;2010-03-10 12:35:30;1;"Forage";558
2010023;2010-03-10 12:35:32;1;"Forage";557,5
2010023;2010-03-10 12:35:33;1;"Forage";556,5
2010023;2010-03-10 12:35:35;1;"Forage";556,5
2010023;2010-03-10 12:35:37;1;"Forage";557,5
2010023;2010-03-10 12:35:40;1;"Forage";556,5
2010023;2010-03-10 12:35:42;1;"Forage";558
2010023;2010-03-10 12:35:44;1;"Forage";558
2010023;2010-03-10 12:35:46;1;"Forage";558,5
2010023;2010-03-10 12:35:47;1;"Forage";559,5
2010023;2010-03-10 12:35:49;1;"Forage";560,5
2010023;2010-03-10 12:35:51;1;"Forage";561
2010023;2010-03-10 12:35:54;1;"Forage";562,5
2010023;2010-03-10 12:35:56;1;"Forage";563
2010023;2010-03-10 12:35:58;1;"Forage";565
2010023;2010-03-10 12:36:00;1;"Forage";565,5
2010023;2010-03-10 12:36:01;1;"Forage";564,5
2010023;2010-03-10 12:36:03;1;"Forage";563,5
2010023;2010-03-10 12:36:05;1;"Forage";562,5
2010023;2010-03-10 12:36:08;1;"Forage";562
2010023;2010-03-10 12:36:10;1;"Forage";561
2010023;2010-03-10 12:36:12;1;"Forage";560,5
2010023;2010-03-10 12:36:13;1;"Forage";560,5
2010023;2010-03-10 12:36:15;1;"Forage";561,5
2010023;2010-03-10 12:36:17;1;"Forage";562,5
2010023;2010-03-10 12:36:19;1;"Forage";564
2010023;2010-03-10 12:36:22;1;"Forage";565
2010023;2010-03-10 12:36:24;1;"Forage";566
2010023;2010-03-10 12:36:26;1;"Forage";566,5
2010023;2010-03-10 12:36:27;1;"Forage";565
2010023;2010-03-10 12:36:29;1;"Forage";564
2010023;2010-03-10 12:36:31;1;"Forage";562,5
2010023;2010-03-10 12:36:34;1;"Forage";561
2010023;2010-03-10 12:36:36;1;"Forage";561
2010023;2010-03-10 12:36:38;1;"Forage";561
2010023;2010-03-10 12:36:40;1;"Forage";561
2010023;2010-03-10 12:36:41;1;"Forage";561
2010023;2010-03-10 12:36:43;1;"Forage";560,5
2010023;2010-03-10 12:36:45;1;"Forage";560,5
2010023;2010-03-10 12:36:48;1;"Forage";560,5
2010023;2010-03-10 12:36:50;1;"Forage";561,5
2010023;2010-03-10 12:36:52;1;"Forage";563
2010023;2010-03-10 12:36:54;1;"Forage";564,5
